artist,total_plays,jon,ico,matt,austin
Don Henley,6811436,6,0,0,1
Drugdealer,1943763,6,0,4,0
Flat Worms,177891,6,0,2,0
Grand Funk Railroad,6123865,6,0,0,6
Haley Heynderickx,2715941,6,0,2,0
Hatchie,1513591,6,1752,1,0
Jimi Hendrix,0,6,50,90,5
Kristofer Maddigan,1040128,6,0,0,0
Lit,5562100,6,0,0,0
Macklemore & Ryan Lewis,33818178,6,32,0,0
Metric,68263345,6,0,0,0
Moses Gunn Collective,1018788,6,0,14,0
OutKast,66174760,6,125,0,4
Phillip Larue,252968,6,0,0,0
Rihanna,251541460,6,50,3,0
Snarky Puppy,3711513,6,0,123,0
Temples,7007633,6,0,27,0
The Go-Go's,3158711,6,0,0,0
The Harmaleighs,157748,6,0,0,0
The Lovin' Spoonful,5272652,6,0,0,0
The Moldy Peaches,8265925,6,0,0,0
The Smashing Pumpkins,145898494,6,48,467,0
The Temptations,15039689,6,0,0,5
The Tragically Hip,7761519,6,0,0,0
Tigers in the Sky,190569,6,0,0,0
Tom Robinson Band,491281,6,0,0,0
Trooper,458019,6,0,0,0
Twisted Sister,10641194,6,0,0,0
UFO,7228402,6,0,0,0
Unwound,8154558,6,700,1357,0
Van der Graaf Generator,4471485,6,18,0,0
Wolfmother,33505021,6,0,0,11
A Flock of Seagulls,6538266,5,0,0,1
Allah-Las,6184066,5,0,1,0
Beach Bunny,8348601,5,1008,1,0
Benjamin Britten,1764040,5,0,0,0
Billy Squier,2682454,5,0,0,2
Boards of Canada,108969093,5,1409,186,0
Bruce Cockburn,1867960,5,0,0,0
Collective Soul,12919822,5,0,0,0
Def Leppard,26892496,5,0,0,0
Derek and the Dominos,7188748,5,0,0,0
Dmitri Shostakovich,6266298,5,0,0,0
DNCE,7630440,5,0,0,0
"Earth, Wind & Fire",22056681,5,84,9,9
Edward Sharpe & The Magnetic Zeros,26861198,5,0,0,0
Fela Kuti,5110278,5,0,0,0
First Aid Kit,21699939,5,0,0,0
Florence + the Machine,194941616,5,0,3,0
George Martin,484683,5,0,0,0
Goodbye June,624729,5,0,0,0
Grateful Dead,39601383,5,0,1,8
Ike & Tina Turner,3516277,5,0,0,0
Insecure Men,267643,5,0,0,0
Interpol,134974187,5,25,3,0
James Bay,15798071,5,0,0,0
James Colt,78662,5,0,0,1
John Bratton,359,5,0,0,0
Johnny Cash,116577910,5,0,2,53
Justin Bieber,99905610,5,0,0,8
Kanye West,480516383,5,522,316,191
Kyuss,27090052,5,0,354,0
Lucy Dacus,7904045,5,125,1,0
Mink Mussel Creek,211500,5,0,0,0
Ocean Alley,2226651,5,0,0,0
Pouya,7879645,5,0,0,3
Sagittarius,539357,5,0,0,0
Steam Powered Giraffe,1813668,5,0,0,0
Taylor Berrett,53764,5,0,0,0
The Animals,16011311,5,0,0,2
The Black Jets,109304,5,0,0,0
The Decemberists,65577310,5,0,0,0
The Lumineers,39427390,5,0,2,0
The Seeds,2006455,5,0,0,0
The Shins,93887660,5,0,4,0
TWAIN,223709,5,0,0,0
Watsky,5291799,5,0,5,95
Yung Gravy,9045569,5,0,3,24
April Wine,1213577,4,0,0,0
Barns Courtney,3531953,4,0,0,0
BLACK MIDI,5619165,4,0,0,0
Bleachers,13420384,4,83,1,0
blink-182,203820117,4,0,0,0
"Blood, Sweat & Tears",2140678,4,0,0,0
Caribou,36381480,4,76,0,0
Charli XCX,87761173,4,880,2,0
Charlie Puth,18339917,4,0,0,0
Cher,20546896,4,0,0,0
Chicago,14578750,4,0,0,4
Chris Isaak,12243362,4,0,0,0
Coin,8842788,4,36,0,0
Corey Hart,1807046,4,0,0,0
Del Shannon,3051369,4,0,0,0
Eagles of Death Metal,22386090,4,0,115,0
Eliza & The Delusionals,177206,4,0,0,0
Fairport Convention,4311795,4,0,0,0
Fat White Family,1621362,4,0,0,0
Franz Ferdinand,121531404,4,0,0,0
Gino Vannelli,915893,4,0,0,1
Glaxo Babies,148749,4,0,0,0
Gregory Alan Isakov,10289963,4,0,0,0
Grimes,93948036,4,1222,305,0
Hounds,48600,4,0,0,0
Idles,14042257,4,153,3,0
INXS,21765811,4,0,0,0
Jefferson Airplane,31774964,4,0,1,0
Jocelyn Alice,205435,4,0,0,0
John Lennon,45149199,4,0,1,1
John Prine,6049600,4,0,0,0
Julien Chang,147837,4,0,0,0
La Dispute,25676383,4,628,693,0
"Lipps, Inc.",1952689,4,0,1,5
Ludacris,21505485,4,0,0,0
Måneskin,18721694,4,0,0,0
Martha Reeves & The Vandellas,4456059,4,0,0,0
Nelson Riddle,537509,4,0,0,0
O Terno,4076874,4,0,0,0
OCS,571898,4,0,0,0
Of Monsters and Men,48769154,4,0,0,0
One Direction,109263824,4,0,0,0
Randy Newman,7688537,4,0,0,0
Rick Wakeman,2347791,4,0,0,0
Rina Sawayama,31424624,4,312,0,0
Santana,31107452,4,0,0,38
Scott McKenzie,2386101,4,0,0,0
Slow Meadow,1661372,4,0,0,0
Soft Machine,4159744,4,83,0,0
Stephen Bishop,855234,4,0,0,0
Steve Winwood,4722126,4,0,0,0
Ted Nugent,4467712,4,0,0,0
The 5th Dimension,2032336,4,0,0,0
The Band,17918300,4,0,0,9
The Cab,10916777,4,0,0,0
The Districts,2034224,4,0,0,0
The Knack,2948534,4,0,0,0
The Last Shadow Puppets,35165537,4,0,0,0
The Modern Lovers,4889904,4,38,0,0
The Pretty Things,2903075,4,0,0,0
Them Crooked Vultures,16722510,4,0,303,0
Traffic,4598375,4,0,0,0
Trudy and the Romance,510941,4,0,0,0
Us The Duo,1219084,4,0,0,0
Vanilla Ice,2478109,4,0,0,0
Wings,7617887,4,0,0,0
Wolfgang Amadeus Mozart,50800459,4,25,0,9
Արամ Խաչատրյան,975958,4,0,0,0
松任谷由実,3157366,4,0,0,0
Ace Frehley,1578882,3,0,0,0
Al Stewart,3009250,3,0,0,0
Allie X,17013337,3,569,1,0
Alvvays,15860811,3,478,82,0
Ambrosia,1462929,3,0,0,0
Anne Murray,1602577,3,0,0,0
At the Drive-In,29440380,3,389,1088,1
Attawalpa,40922,3,0,0,0
Barry Manilow,4678762,3,0,0,8
Bear McCreary,12969859,3,0,0,0
Big Thief,14397776,3,265,2,0
Blonde Redhead,29013197,3,328,6,1
Blur,104984566,3,23,1,0
Bob Marley & The Wailers,71861818,3,0,1,1
Booker T. & the MG's,5687243,3,0,0,2
Brian Wilson,4681613,3,0,0,0
Burial,43440193,3,1547,4,2
Cake,46913709,3,0,0,0
Canned Heat,6741012,3,0,0,1
Cass Elliot,573601,3,0,0,0
Chelsea Wolfe,17690255,3,250,2,2
Chet Atkins,1927694,3,0,0,0
Chicano Batman,1407454,3,0,0,0
Clare Maguire,2413126,3,578,0,0
Corn on My Dinner Plate,33445,3,0,0,0
Counting Crows,39125132,3,0,0,0
Cryptopsy,5935047,3,0,0,0
Curtis Mayfield,12713558,3,0,0,1
Death Cab for Cutie,178735338,3,0,0,0
Des Rocs,1596242,3,0,0,0
Diana Ross and the Supremes,3693605,3,0,0,0
DIIV,17010841,3,525,20,0
Dr. Dog,17902432,3,0,85,2
Eels,52188091,3,24,0,0
Europe,14463250,3,0,0,1
Felix Mendelssohn,6372141,3,0,0,4
fkbambam,163719,3,0,0,0
Frankie Valli,3225776,3,0,0,0
Fruit Bats,5682598,3,0,0,0
Grim Salvo,150243,3,0,0,0
Hammerhedd,22168,3,0,0,0
Hobo Johnson,3508602,3,0,15,3
James Newton Howard,13256873,3,0,0,0
Jason Derülo,29666426,3,32,1,2
Jefferson Starship,1917272,3,0,0,0
Jess Glynne,6895246,3,0,0,0
John Coltrane,27609921,3,0,20,1
John Hartford,1154014,3,0,0,0
Jonas Blue,9118504,3,0,0,0
Jonathan Wilson,2083300,3,0,0,0
Judah & the Lion,1817124,3,0,0,0
Julia Holter,8213286,3,1487,0,0
Khalid,35587105,3,0,22,0
Kool & The Gang,11477296,3,0,0,0
Krokus,2182238,3,0,0,0
Labrinth,16590382,3,0,4,0
Les Claypool And The Holy Mackerel,491093,3,0,0,0
Lola Marsh,1152300,3,0,0,0
Los Scallywaggs,17776,3,0,0,0
Ludovico Einaudi,45023098,3,0,0,0
Mac Miller,111467108,3,58,1,0
Mahavishnu Orchestra,3855390,3,28,1,0
Mark Ronson,27460232,3,0,0,0
Martha and the Muffins,870857,3,0,0,0
Mary Wells,1939875,3,0,0,0
Men Without Hats,3410136,3,0,0,0
Michael Giacchino,14801702,3,0,0,0
Mildlife,450539,3,0,0,0
Misfits,62829264,3,0,0,0
MØ,20471826,3,0,0,0
Montrose,677738,3,0,0,0
Muse,376863078,3,42,0,0
New Order,67511132,3,0,0,0
Nico,10227980,3,18,0,0
Oliver Tree,13006607,3,0,2,8
Ozzy Osbourne,54783098,3,0,0,0
Paul Anka,4667768,3,0,0,0
Phoenix,85719264,3,138,0,0
Reel Big Fish,24845739,3,0,0,0
Renata Zeiguer,98380,3,0,0,0
Ride,12178599,3,102,0,0
Robert DeLong,2204621,3,0,0,0
Ron Gallo,795026,3,0,0,0
Ruen Brothers,186823,3,0,0,0
Seals & Crofts,1715746,3,0,0,0
Sergei Prokofiev,5337108,3,0,0,0
Sharon Van Etten,18377536,3,240,2,0
Slow Pulp,1399947,3,0,0,0
Sonic Youth,79722245,3,23,61,0
Stamen,19983,3,0,0,0
Swim Mountain,529694,3,0,14,0
Tee Grizzley,4402348,3,0,0,0
Tegan and Sara,84296664,3,0,0,0
The All-American Rejects,51903586,3,638,18,0
The Allman Brothers Band,16443700,3,0,0,10
The Bobby Fuller Four,722114,3,0,0,0
The Damned,8622766,3,0,0,0
The Dead Pirates,415858,3,0,0,0
The Effends,1232,3,0,2,0
The Everly Brothers,6253046,3,0,0,3
The Jamaican Reggae Band,19849,3,0,0,0
The Lounge Lizards,1163228,3,0,0,0
The Nice,653226,3,0,0,0
The Nude Party,429300,3,0,0,3
The Searchers,1855837,3,0,0,0
The West Coast Pop Art Experimental Band,1469737,3,0,0,0
Tiësto,48325297,3,0,5,0
Trippy tha Kid,31935,3,0,0,0
TV Girl,12034200,3,0,0,0
Uriah Heep,12617371,3,0,0,0
Whitney,7228538,3,96,0,0
Will Smith,10419713,3,0,0,0
Young the Giant,21293720,3,0,0,0
.38 Special,3038055,2,0,0,1
49th Parallel,55918,2,0,0,0
83hades,226776,2,0,0,0
A Great Big World,5853574,2,0,0,0
Aerosmith,81008327,2,0,2,3
Aesop Rock,28051773,2,180,0,6
